date,close,high,low,open,volume,dividends,stock_splits,capital_gains
2026-03-09,28.56999969482422,28.68000030517578,27.75,27.871999740600586,4561600,0.0,0.0,0.0
2026-03-10,28.06999969482422,28.670000076293945,27.670000076293945,28.649999618530273,4501400,0.0,0.0,0.0
2026-03-11,27.940000534057617,28.5,27.479999542236328,28.100000381469727,3037700,0.0,0.0,0.0
2026-03-12,27.530000686645508,28.079999923706055,27.489999771118164,27.889999389648438,3058900,0.0,0.0,0.0
2026-03-13,26.639999389648438,27.885000228881836,26.479999542236328,27.32200050354004,3177500,0.0,0.0,0.0
2026-03-16,27.219999313354492,27.309999465942383,26.520000457763672,26.979999542236328,3103100,0.0,0.0,0.0
2026-03-17,27.139999389648438,27.799999237060547,26.90999984741211,27.225000381469727,2518600,0.0,0.0,0.0
2026-03-18,26.079999923706055,26.93000030517578,25.979999542236328,26.81999969482422,2688900,0.0,0.0,0.0
2026-03-19,25.700000762939453,26.170000076293945,25.459999084472656,25.8700008392334,3500900,0.0,0.0,0.0
2026-03-20,24.760000228881836,25.440000534057617,24.524999618530273,25.395000457763672,4474300,0.0,0.0,0.0
2026-03-23,24.899999618530273,25.43000030517578,24.719999313354492,25.06999969482422,3948452,0.0,0.0,0.0
