date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2025-08-27,129.0500030517578,130.26300048828125,126.01000213623048,127.4000015258789,5567700,0.0,0.0,10.37,10.09,-1.78,-5.74,-14.3
2025-08-28,129.0,132.77999877929688,127.66300201416016,130.94000244140625,5588700,0.0,0.0,15.85,12.01,1.09,-2.53,-10.33
2025-08-29,131.07000732421875,135.97000122070312,129.0,131.97999572753906,8140600,0.0,0.0,23.26,15.76,2.37,-0.47,-8.49
2025-09-02,128.55999755859375,131.69000244140625,119.5999984741211,120.13999938964844,10272400,0.0,0.0,16.22,15.91,-6.07,-7.91,-15.39
2025-09-03,122.08999633789062,122.27100372314452,116.5999984741211,118.45999908447266,9473300,0.0,0.0,13.02,14.95,-5.82,-8.02,-15.52
2025-09-04,117.63999938964844,120.31999969482422,115.08000183105467,117.48999786376952,6393600,0.0,0.0,11.39,13.76,-5.1,-7.31,-14.87
2025-09-05,117.77999877929688,118.8000030517578,108.0199966430664,114.55999755859376,11544500,0.0,0.0,15.39,14.31,-4.95,-8.37,-15.82
2025-09-08,114.0,117.77999877929688,110.0500030517578,112.45999908447266,8410400,0.0,0.0,15.56,14.72,-3.57,-8.4,-15.92
2025-09-09,113.62999725341795,120.75,112.62000274658205,117.98999786376952,9098700,0.0,0.0,22.26,17.24,1.55,-3.32,-10.34
2025-09-10,119.96499633789062,124.9800033569336,113.16999816894533,113.69000244140624,9925500,0.0,0.0,21.6,18.69,-1.34,-5.66,-11.95
2025-09-11,114.22000122070312,136.49000549316406,113.3000030517578,133.6999969482422,23638300,0.0,0.0,44.47,27.28,12.85,10.37,4.33
2025-09-12,134.85000610351562,134.89999389648438,124.5,125.31999969482422,15291500,0.0,0.0,49.9,34.82,3.89,3.93,-1.68
2025-09-15,129.89999389648438,135.77999877929688,125.08000183105467,134.0500030517578,12573800,0.0,0.0,63.74,44.46,7.28,10.98,5.8
2025-09-16,139.60000610351562,142.5500030517578,133.9199981689453,134.80999755859375,12723000,0.0,0.0,68.36,52.43,5.06,10.27,6.69
2025-09-17,135.0,146.5,128.25999450683594,131.0399932861328,19405300,0.0,0.0,65.51,56.79,-0.56,6.1,3.88
2025-09-18,134.74000549316406,143.5800018310547,134.07000732421875,140.4199981689453,15939000,0.0,0.0,71.45,61.68,5.48,11.62,11.2
2025-09-19,145.0500030517578,147.6999969482422,139.52999877929688,144.13999938964844,16115600,0.0,0.0,77.58,66.98,5.29,11.94,13.59
2025-09-22,139.8800048828125,140.7100067138672,134.55999755859375,137.63999938964844,9117400,0.0,0.0,75.34,69.77,0.02,4.84,8.36
2025-09-23,138.6699981689453,141.60000610351562,130.6999969482422,130.97000122070312,8952100,0.0,0.0,67.35,68.96,-4.29,-1.21,2.87
2025-09-24,133.72999572753906,136.33999633789062,130.0399932861328,131.5800018310547,9155800,0.0,0.0,55.07,64.33,-3.92,-2.07,3.25
2025-09-25,128.99000549316406,130.25999450683594,124.3000030517578,124.66000366210938,7729900,0.0,0.0,37.23,55.3,-6.83,-6.6,-2.08
2025-09-26,125.41999816894533,128.49000549316406,122.83000183105467,126.98999786376952,5467800,0.0,0.0,30.39,47.0,-2.59,-4.97,-0.09
2025-09-29,129.5,137.8000030517578,128.5,133.66000366210938,10474600,0.0,0.0,34.78,42.92,3.16,0.05,5.09
