date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2026-04-15,258.1600036621094,266.5599975585937,257.8099975585937,266.42999267578125,49913500,0.0,0.0,85.6,76.75,2.05,2.94,3.99
2026-04-16,266.79998779296875,267.1600036621094,261.2699890136719,263.3999938964844,43323100,0.0,0.0,84.56,79.35,0.66,1.46,2.63
2026-04-17,266.9599914550781,272.29998779296875,266.7200012207031,270.2300109863281,61436200,0.0,0.0,87.11,81.94,2.51,3.52,4.97
2026-04-20,270.3299865722656,274.2799987792969,270.2900085449219,273.04998779296875,36590200,0.0,0.0,89.16,84.34,2.5,4.04,5.7
2026-04-21,271.5,272.79998779296875,265.3999938964844,266.1700134277344,50209800,0.0,0.0,77.93,82.2,-0.63,0.93,2.88
2026-04-22,267.82000732421875,273.739990234375,266.8699951171875,273.1700134277344,43249200,0.0,0.0,83.18,82.53,1.47,3.03,5.29
2026-04-23,275.04998779296875,275.7699890136719,271.6499938964844,273.42999267578125,33399600,0.0,0.0,84.71,83.26,0.82,2.62,4.97
2026-04-24,272.760009765625,273.0599975585937,269.6499938964844,271.0599975585937,38157100,0.0,0.0,81.36,82.62,-0.12,1.33,3.7
2026-04-27,266.0899963378906,268.3599853515625,265.07000732421875,267.6099853515625,41466800,0.0,0.0,72.43,79.22,-0.99,-0.27,2.01
2026-04-28,272.3399963378906,273.2300109863281,268.6600036621094,270.7099914550781,40018900,0.0,0.0,69.98,76.14,-0.18,0.44,2.72
2026-04-29,267.54998779296875,271.0400085449219,267.0400085449219,270.1700134277344,30047900,0.0,0.0,62.54,71.61,-0.16,0.1,2.2
2026-04-30,270.5,276.0,268.1400146484375,271.3500061035156,91848200,0.0,0.0,60.85,68.02,0.43,0.24,2.34
2026-05-01,278.8599853515625,287.2200012207031,278.3699951171875,280.1400146484375,79915400,0.0,0.0,63.24,66.43,2.99,3.11,5.17
2026-05-04,279.4025768563376,280.3716851917065,274.60697695873915,276.5751647949219,46668400,0.0,0.0,59.48,64.11,1.02,1.67,3.49
2026-05-05,276.6750995896243,284.3080821831616,276.2455026895375,283.9184265136719,49311700,0.0,0.0,68.02,65.41,2.71,3.69,5.64
2026-05-06,281.66051049385584,287.7648717000964,280.8112868075762,287.245361328125,58336100,0.0,0.0,77.91,69.58,2.64,4.37,6.32
2026-05-07,289.00371711581823,291.8611003514943,285.5169394038565,287.1754150390625,45224300,0.0,0.0,79.45,72.87,1.47,3.83,5.77
